H/M,DH (kJ/mol)
0.00,
0.04,-105
0.19,-96
0.33,-106
0.48,-112
0.63,-101
0.78,-110
0.93,-103
1.07,-90
1.22,-92
1.37,-89
1.52,-69
1.67,-89
1.81,-74
1.96,-66
,
