H/M,DH (kJ/mol)
0.00,
0.04,-99
0.21,-34
0.38,-6
0.54,-15
0.71,-11
0.88,-9
1.04,-5
1.21,-9
1.38,-10
1.54,-7
1.71,-4
1.88,-3
2.00,-5
,
,
