H/M,DH (kJ/mol)
0.00,
0.06,-144
0.28,-108
0.50,-105
0.72,-99
0.94,-102
1.17,-96
1.39,-99
1.61,-90
1.83,-81
2.00,-79
,
,
,
,
,
