H/M,DH (kJ/mol)
0.00,
0.04,-160
0.19,-99
0.33,-107
0.48,-110
0.63,-105
0.78,-107
0.93,-110
1.07,-104
1.22,-104
1.37,-95
1.52,-96
1.67,-91
1.81,-86
1.96,-75
,
