H/M,DH (kJ/mol)
0.00,
0.04,-188
0.21,-125
0.38,-108
0.54,-107
0.71,-109
0.88,-112
1.04,-114
1.21,-115
1.38,-113
1.54,-112
1.71,-97
1.88,-110
2.00,-110
,
,
