H/M,DH (kJ/mol)
0.00,
0.04,-195
0.21,-125
0.38,-109
0.54,-101
0.71,-103
0.88,-107
1.04,-108
1.21,-109
1.38,-109
1.54,-111
1.71,-110
1.88,-111
2.00,-111
,
,
