H/M,DH (kJ/mol)
0.00,
0.04,-193
0.21,-118
0.38,-112
0.54,-115
0.71,-115
0.88,-116
1.04,-117
1.21,-120
1.38,-122
1.54,-122
1.71,-120
1.88,-118
2.00,-118
,
,
