H/M,DH (kJ/mol)
0.00,
0.04,-125
0.21,-76
0.38,-66
0.54,-51
0.71,-45
0.88,-42
1.04,-39
1.21,-34
1.38,-31
1.54,-31
1.71,-29
1.88,-25
2.00,-22
