H/M,DH (kJ/mol)
0.00,
0.04,-103
0.19,-59
0.33,-48
0.48,-57
0.63,-49
0.78,-36
0.93,-36
1.07,-25
1.22,-23
1.37,-20
1.52,-18
1.67,-10
1.81,-5
1.96,-8
2.00,-4
