H/M,DH (kJ/mol)
0.00,
0.04,-137
0.21,-45
0.38,-36
0.54,-19
0.71,-24
0.88,-21
1.04,-24
1.21,-26
1.38,-22
1.54,-21
1.71,-21
1.88,-19
2.00,-19
