H/M,DH (kJ/mol)
0.00,
0.04,-114
0.21,-74
0.38,-77
0.54,-70
0.71,-70
0.88,-67
1.04,-66
1.21,-62
1.38,-59
1.54,-58
1.71,-61
1.88,-61
2.00,-61
