H/M,DH (kJ/mol)
0.00,
0.04,-67
0.21,-80
0.38,-76
0.54,-70
0.71,-64
0.88,-63
1.04,-62
1.21,-58
1.38,-59
1.54,-60
1.71,-61
1.88,-61
2.00,-65
,
,
