H/M,DH (kJ/mol)
0.00,
0.04,-112
0.21,-32
0.38,-13
0.54,-12
0.71,0
0.88,-7
1.04,-5
1.21,-8
1.38,-6
1.54,-9
1.71,-6
1.88,-3
2.00,0
