H/M,DH (kJ/mol)
0.00,
0.04,-206
0.21,-129
0.38,-120
0.54,-119
0.71,-122
0.88,-124
1.04,-124
1.21,-126
1.38,-128
1.54,-126
1.71,-124
1.88,-121
2.00,-121
,
,
