H/M,DH (kJ/mol)
0.00,
0.04,-107
0.19,-58
0.33,-45
0.48,-45
0.63,-45
0.78,-30
0.93,-24
1.07,-24
1.22,-17
1.37,-7
1.52,-7
1.67,-7
1.81,-4
1.96,0
2.00,2
