,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
365,Cr1 Ta1 Mo1 Pd1 Hf1,CrMoPdHfTa,SS,SS,-3.8028500947607133,35.88596665977454,94.9222820758432
366,Cr1 Ta1 Mo1 Nb1 Hf1,CrNbMoHfTa,SS,SS,-3.976433521862885,39.131960659681724,88.51355091429011
367,Cr1 Ta1 V1 Pd1 Nb1,VCrNbPdTa,SS,SS,-3.7896110713923616,40.04642719930259,102.09918534136105
368,Cr1 Ta1 V1 Pd1 Hf1,VCrPdHfTa,SS,SS,-5.460025198006288,38.555542864245005,102.01007942632673
369,Cr1 Ta1 V1 Nb1 Hf1,VCrNbHfTa,SS,SS,-8.039575915182773,50.84836160532573,95.58099926592536
370,Cr1 Ta1 Pd1 Nb1 Hf1,CrNbPdHfTa,SS,SS,-3.9584790177796454,38.93869697968314,102.68308353779187
371,Cr1 Zr1 Ti1 Mo1 V1,TiVCrZrMo,SS+IM,SS+IM,-3.9277610482838927,39.79462531671487,92.75825276530759
372,Cr1 Zr1 Ti1 Mo1 Pd1,TiCrZrMoPd,SS+IM,IM,-3.6138685275532683,35.23663516195405,104.58474808197413
373,Cr1 Zr1 Ti1 Mo1 Nb1,TiCrZrNbMo,SS+IM,SS+IM,-4.370222711409485,40.404134131729194,92.03957753808665
374,Cr1 Zr1 Ti1 Mo1 Hf1,TiCrZrMoHf,SS,SS+IM,-9.168684478039825,50.949790804699845,96.66352948351366
375,Cr1 Zr1 Ti1 V1 Pd1,TiVCrZrPd,SS+IM,SS,-6.190100642870645,46.43979507150039,110.97525162180006
376,Cr1 Zr1 Ti1 V1 Nb1,TiVCrZrNb,SS+IM,SS+IM,-8.81841700788183,57.8797818081612,90.50388534146435
377,Cr1 Zr1 Ti1 V1 Hf1,TiVCrZrHf,SS,SS,-13.730545444528186,60.120173115922725,88.99063838223621
378,Cr1 Zr1 Ti1 Pd1 Nb1,TiCrZrNbPd,IM,IM,-6.331551520961185,42.874027299337094,105.12364153317567
379,Cr1 Zr1 Ti1 Pd1 Hf1,TiCrZrPdHf,SS,SS,-10.737682254152398,54.941252438900314,113.23446559891677
380,Cr1 Zr1 Ti1 Nb1 Hf1,TiCrZrNbHf,SS,SS+IM,-13.733903135060293,60.104399382528484,89.58407909925569
381,Cr1 Zr1 Mo1 V1 Pd1,VCrZrMoPd,SS+IM,SS,-3.543467590934695,34.342006485620125,94.44814371013001
382,Cr1 Zr1 Mo1 V1 Nb1,VCrZrNbMo,SS+IM,SS+IM,-3.631624139646788,37.00508633616453,90.52793079908955
383,Cr1 Zr1 Mo1 V1 Hf1,VCrZrMoHf,SS,SS+IM,-6.563114160462306,44.39907769338295,93.0085777537428
384,Cr1 Zr1 Mo1 Pd1 Nb1,CrZrNbMoPd,SS+IM,SS+IM,-1.6673954350769546,31.120302249434612,93.82723220642194
385,Cr1 Zr1 Mo1 Pd1 Hf1,CrZrMoPdHf,SS,SS,-2.9659224201625163,35.32852351902681,105.23897643712174
386,Cr1 Zr1 Mo1 Nb1 Hf1,CrZrNbMoHf,SS+IM,SS+IM,-6.195341123835163,43.6915729150694,93.04933260248005
387,Cr1 Zr1 V1 Pd1 Nb1,VCrZrNbPd,IM,IM,-5.050783748149081,42.29332705064934,107.39537593134732
388,Cr1 Zr1 V1 Pd1 Hf1,VCrZrPdHf,SS,SS,-8.970729457530224,52.85048753437925,114.46874135435802
389,Cr1 Zr1 V1 Nb1 Hf1,VCrZrNbHf,SS,SS+IM,-11.100354148558074,57.929791731663165,91.63865087838695
390,Cr1 Zr1 Pd1 Nb1 Hf1,CrZrNbPdHf,SS,SS,-7.9111880973895365,48.09200860994061,111.72626565585425
391,Cr1 Ti1 Mo1 V1 Pd1,TiVCrMoPd,SS+IM,SS,-1.9895375818532062,31.50064083011074,96.05047865658997
392,Cr1 Ti1 Mo1 V1 Nb1,TiVCrNbMo,SS,SS,-3.0084608247304154,37.453344859603156,89.88428176011602
393,Cr1 Ti1 Mo1 V1 Hf1,TiVCrMoHf,SS,SS+IM,-5.130311095122814,42.028521028341935,92.84101680012013
394,Cr1 Ti1 Mo1 Pd1 Nb1,TiCrNbMoPd,SS,SS,-2.8762020012266576,33.0750454609191,92.2890647051284
395,Cr1 Ti1 Mo1 Pd1 Hf1,TiCrMoPdHf,SS,SS,-4.174368133620531,36.55883561724074,105.10703347763527
396,Cr1 Ti1 Mo1 Nb1 Hf1,TiCrNbMoHf,SS,SS+IM,-4.432125039547406,39.83233638038867,90.71307590371065
397,Cr1 Ti1 V1 Pd1 Nb1,TiVCrNbPd,SS+IM,SS,-3.6689856503703084,39.03963439931504,108.15713973336771
398,Cr1 Ti1 V1 Pd1 Hf1,TiVCrPdHf,SS,SS,-6.902740005143056,48.855151777091294,113.6811524390199
399,Cr1 Ti1 V1 Nb1 Hf1,TiVCrNbHf,SS,SS+IM,-8.287715818959473,56.86023217830966,89.50123580051672
400,Cr1 Ti1 Pd1 Nb1 Hf1,TiCrNbPdHf,SS,SS,-5.040359095049455,42.69495014197309,108.39107539321313
401,Cr1 Mo1 V1 Pd1 Nb1,VCrNbMoPd,SS,SS,-1.5353573876515965,30.569765668486216,90.77397032304846
402,Cr1 Mo1 V1 Pd1 Hf1,VCrMoPdHf,SS,SS,-3.9865719330997194,37.39177894738902,96.29323458009732
403,Cr1 Mo1 V1 Nb1 Hf1,VCrNbMoHf,SS,SS,-4.714336636070254,41.389955656311656,90.660390952376
404,Cr1 Mo1 Pd1 Nb1 Hf1,CrNbMoPdHf,SS,SS,-2.8976302506174183,35.28043772533444,96.81324815132551
405,Cr1 V1 Pd1 Nb1 Hf1,VCrNbPdHf,SS,SS,-5.401618877361797,43.70191891856207,109.8828628777452
406,Ta1 Zr1 Ti1 Mo1 V1,TiVZrMoTa,SS,SS,-8.61391991696002,51.34689286908026,89.629910699927
407,Ta1 Zr1 Ti1 Mo1 Pd1,TiZrMoPdTa,SS,SS,-3.3539449479629533,40.644354946333976,103.15811411164437
408,Ta1 Zr1 Ti1 Mo1 Nb1,TiZrNbMoTa,SS,SS,-7.385028527339192,50.91679879190582,91.65171222106989
409,Ta1 Zr1 Ti1 Mo1 Hf1,TiZrMoHfTa,SS,SS,-8.596346350039353,51.210992765100144,91.54675102659661
410,Ta1 Zr1 Ti1 V1 Pd1,TiVZrPdTa,SS,SS,-6.103826299279433,41.55242319161197,98.99218192287233
411,Ta1 Zr1 Ti1 V1 Nb1,TiVZrNbTa,SS,SS,-11.820915940178757,59.247478591426656,87.3198746573437
412,Ta1 Zr1 Ti1 V1 Hf1,TiVZrHfTa,SS,SS,-12.688834848996548,59.1399307740779,87.77012547266092
413,Ta1 Zr1 Ti1 Pd1 Nb1,TiZrNbPdTa,SS,SS,-6.664544324281704,41.89088067435734,98.92870081805037
414,Ta1 Zr1 Ti1 Pd1 Hf1,TiZrPdHfTa,SS,SS,-9.37391040756966,48.22610966040335,98.92816619093438
415,Ta1 Zr1 Ti1 Nb1 Hf1,TiZrNbHfTa,SS,SS,-12.675992131146707,59.88877789810152,89.70981490483537
416,Ta1 Zr1 Mo1 V1 Pd1,VZrMoPdTa,SS,SS,-2.5941098329701098,34.59353831009742,97.49627715767934
417,Ta1 Zr1 Mo1 V1 Nb1,VZrNbMoTa,SS,SS,-4.0225517220763995,40.57761296639439,91.3241148749758
418,Ta1 Zr1 Mo1 V1 Hf1,VZrMoHfTa,SS,SS,-6.827996426895865,48.68963427184723,89.30388162592244
419,Ta1 Zr1 Mo1 Pd1 Nb1,ZrNbMoPdTa,SS,SS,-2.321371951553746,34.05715861457766,97.58121731397873
420,Ta1 Zr1 Mo1 Pd1 Hf1,ZrMoPdHfTa,SS,SS,-3.1556555807188147,38.41465684625893,102.73862508902779
421,Ta1 Zr1 Mo1 Nb1 Hf1,ZrNbMoHfTa,SS,SS,-6.329753646341337,46.730444070240594,91.14452793379095
422,Ta1 Zr1 V1 Pd1 Nb1,VZrNbPdTa,SS,SS,-4.284185858178278,39.807903715637806,101.11363712951253
423,Ta1 Zr1 V1 Pd1 Hf1,VZrPdHfTa,SS,SS,-7.553297382998344,45.01507358688124,99.92140411528862
424,Ta1 Zr1 V1 Nb1 Hf1,VZrNbHfTa,SS,SS,-11.374792471002534,57.96617326017573,86.9451631521658
425,Ta1 Zr1 Pd1 Nb1 Hf1,ZrNbPdHfTa,SS,SS,-7.302906251369143,44.784280919465274,99.81213032936144
426,Ta1 Ti1 Mo1 V1 Pd1,TiVMoPdTa,SS,SS,-4.48856721689099,36.76882668428847,92.77836583752308
427,Ta1 Ti1 Mo1 V1 Nb1,TiVNbMoTa,SS,SS,-4.649354201158082,41.762658606645005,91.95032285714781
428,Ta1 Ti1 Mo1 V1 Hf1,TiVMoHfTa,SS,SS,-7.595103260529732,48.6331170125528,89.51251384081364
429,Ta1 Ti1 Mo1 Pd1 Nb1,TiNbMoPdTa,SS,SS,-2.7648445749680763,34.26762951241438,93.99866411006109
430,Ta1 Ti1 Mo1 Pd1 Hf1,TiMoPdHfTa,SS,SS,-2.7777377783084023,38.31868141975476,102.58249047685806
431,Ta1 Ti1 Mo1 Nb1 Hf1,TiNbMoHfTa,SS,SS,-7.467906285089806,49.290384556786435,91.64034113688093
432,Ta1 Ti1 V1 Pd1 Nb1,TiVNbPdTa,SS,SS,-5.570322527866545,43.12166735031985,102.51145253593046
433,Ta1 Ti1 V1 Pd1 Hf1,TiVPdHfTa,SS,SS,-6.641764807336129,41.2589112893991,99.52168085765409
434,Ta1 Ti1 V1 Nb1 Hf1,TiVNbHfTa,SS,SS,-10.825611503188444,56.92050670819225,85.88064759893437
435,Ta1 Ti1 Pd1 Nb1 Hf1,TiNbPdHfTa,SS,SS,-7.098959765532009,43.02170852328476,99.22768587317609
436,Ta1 Mo1 V1 Pd1 Nb1,VNbMoPdTa,SS,SS,-3.8628534838337942,36.43184110052042,91.3058352274692
437,Ta1 Mo1 V1 Pd1 Hf1,VMoPdHfTa,SS,SS,-3.019600006530787,35.323845626733274,94.46809299774765
438,Ta1 Mo1 V1 Nb1 Hf1,VNbMoHfTa,SS,SS,-5.804917813495531,42.869750112913636,93.92591593025703
439,Ta1 Mo1 Pd1 Nb1 Hf1,NbMoPdHfTa,SS,SS,-2.2999085928222964,34.67058532496076,96.4434016289624
440,Ta1 V1 Pd1 Nb1 Hf1,VNbPdHfTa,SS,SS,-4.496466971823279,40.09558286576991,101.47588684714299
441,Zr1 Ti1 Mo1 V1 Pd1,TiVZrMoPd,SS,SS,-4.016255091059547,41.01037365015585,108.31738128327073
442,Zr1 Ti1 Mo1 V1 Nb1,TiVZrNbMo,SS,SS,-5.261750442393991,47.604859342191304,93.37655111189353
443,Zr1 Ti1 Mo1 V1 Hf1,TiVZrMoHf,SS,SS,-10.305208736153151,52.06685437480339,87.31326510139925
444,Zr1 Ti1 Mo1 Pd1 Nb1,TiZrNbMoPd,SS,IM,-3.181813297501128,36.89564335850302,102.47128908777484
445,Zr1 Ti1 Mo1 Pd1 Hf1,TiZrMoPdHf,SS,SS,-6.180154073674603,46.37104065063859,112.04792220725628
446,Zr1 Ti1 Mo1 Nb1 Hf1,TiZrNbMoHf,SS,SS,-9.417858871500748,51.50669458334999,89.11940922477392
447,Zr1 Ti1 V1 Pd1 Nb1,TiVZrNbPd,SS,SS,-6.797266030714911,41.71820071682851,101.48552410674944
448,Zr1 Ti1 V1 Pd1 Hf1,TiVZrPdHf,SS,SS,-11.027338853624826,54.20264929719696,106.66737425134782
449,Zr1 Ti1 V1 Nb1 Hf1,TiVZrNbHf,SS,SS,-14.613740458865355,62.67024393228364,89.68674799769919
450,Zr1 Ti1 Pd1 Nb1 Hf1,TiZrNbPdHf,SS,SS,-10.219341589463413,51.44092248507252,107.37151836379005
451,Zr1 Mo1 V1 Pd1 Nb1,VZrNbMoPd,SS,SS,-2.4156109400991617,33.67550393581603,98.28826756230717
452,Zr1 Mo1 V1 Pd1 Hf1,VZrMoPdHf,SS,SS,-3.943954593532982,42.208065665662964,108.5883010129098
453,Zr1 Mo1 V1 Nb1 Hf1,VZrNbMoHf,SS,SS,-7.0538070177216285,51.006032191323236,94.64260020423696
454,Zr1 Mo1 Pd1 Nb1 Hf1,ZrNbMoPdHf,SS,SS,-3.4841862718284116,40.54309542962268,105.94986829887372
455,Zr1 V1 Pd1 Nb1 Hf1,VZrNbPdHf,SS,SS,-8.160419691127503,47.84558205464887,108.53779696667097
456,Ti1 Mo1 V1 Pd1 Nb1,TiVNbMoPd,SS,SS,-3.753068744845401,36.40745913857426,98.23485399803796
457,Ti1 Mo1 V1 Pd1 Hf1,TiVMoPdHf,SS,SS,-4.879735016281116,41.7707696709604,108.04473705954253
458,Ti1 Mo1 V1 Nb1 Hf1,TiVNbMoHf,SS,SS,-5.669480032096229,46.233859279668145,92.687306282046
459,Ti1 Mo1 Pd1 Nb1 Hf1,TiNbMoPdHf,SS,SS,-2.8140628404629577,37.14227052123319,104.9473815712907
460,Ti1 V1 Pd1 Nb1 Hf1,TiVNbPdHf,SS,SS,-5.692556979436267,41.70517987886484,104.00514963489583
461,Mo1 V1 Pd1 Nb1 Hf1,VNbMoPdHf,SS,SS,-2.87806842695665,36.60876271965252,102.50663752341447
462,Al1 Cr1 Ta1 Zr1 Ti1 Mo1,AlTiCrZrMoTa,SS,SS,-7.344615071042443,43.80087909592959,82.58245498908045
463,Al1 Cr1 Ta1 Zr1 Ti1 V1,AlTiVCrZrTa,SS,SS,-8.196510039669223,48.26993591089994,85.07349455933446
464,Al1 Cr1 Ta1 Zr1 Ti1 Pd1,AlTiCrZrPdTa,SS,SS,-6.5181465593020915,45.83358636455365,97.85916170061394
465,Al1 Cr1 Ta1 Zr1 Ti1 Nb1,AlTiCrZrNbTa,SS,SS+IM,-8.967424558697108,49.0521886409692,85.94047041791046
466,Al1 Cr1 Ta1 Zr1 Ti1 Hf1,AlTiCrZrHfTa,SS,SS,-10.891904630760742,49.09586124011489,84.24185677523546
467,Al1 Cr1 Ta1 Zr1 Mo1 V1,AlVCrZrMoTa,SS,SS,-4.58488744803548,38.11874352474249,79.44735131281386
468,Al1 Cr1 Ta1 Zr1 Mo1 Pd1,AlCrZrMoPdTa,SS,SS,-2.8010391096957505,36.48533247560363,89.10414106714693
469,Al1 Cr1 Ta1 Zr1 Mo1 Nb1,AlCrZrNbMoTa,SS+IM,SS+IM,-4.637585977961072,38.379947992941325,79.85909037357703
470,Al1 Cr1 Ta1 Zr1 Mo1 Hf1,AlCrZrMoHfTa,SS,SS,-6.924986236085693,42.90144614368103,85.11924696047156
471,Al1 Cr1 Ta1 Zr1 V1 Pd1,AlVCrZrPdTa,SS,SS,-4.655031039403945,41.19166770525365,96.34943652285754
472,Al1 Cr1 Ta1 Zr1 V1 Nb1,AlVCrZrNbTa,SS,SS,-7.826215382343415,47.548969138907644,85.46110166515805
473,Al1 Cr1 Ta1 Zr1 V1 Hf1,AlVCrZrHfTa,SS,SS,-9.315704337730894,48.899589846805064,86.62004169100939
474,Al1 Cr1 Ta1 Zr1 Pd1 Nb1,AlCrZrNbPdTa,SS,SS+IM,-4.672976971760187,42.49161358487458,97.74976933786245
475,Al1 Cr1 Ta1 Zr1 Pd1 Hf1,AlCrZrPdHfTa,SS,SS,-6.537861414765893,44.88391737237362,98.34424368038552
476,Al1 Cr1 Ta1 Zr1 Nb1 Hf1,AlCrZrNbHfTa,SS,SS+IM,-9.234289602770962,49.01325770963348,88.61509725765363
477,Al1 Cr1 Ta1 Ti1 Mo1 V1,AlTiVCrMoTa,SS,SS,-4.481557892874004,36.86787076956991,78.27757346429544
478,Al1 Cr1 Ta1 Ti1 Mo1 Pd1,AlTiCrMoPdTa,SS,SS,-4.297783939861295,38.32084006564348,85.90365821350557
479,Al1 Cr1 Ta1 Ti1 Mo1 Nb1,AlTiCrNbMoTa,SS,SS+IM,-4.830100877833068,37.275845945286754,78.46294810806779
480,Al1 Cr1 Ta1 Ti1 Mo1 Hf1,AlTiCrMoHfTa,SS,SS,-7.045764707734065,43.24119990182552,82.77012381759386
481,Al1 Cr1 Ta1 Ti1 V1 Pd1,AlTiVCrPdTa,SS,SS,-4.833931680092359,40.959388932094775,97.82460159764355
482,Al1 Cr1 Ta1 Ti1 V1 Nb1,AlTiVCrNbTa,SS,SS,-5.967458342830438,43.99702579918239,92.3524117809758
483,Al1 Cr1 Ta1 Ti1 V1 Hf1,AlTiVCrHfTa,SS,SS,-8.04293885583083,47.16590745410067,84.00137472488407
484,Al1 Cr1 Ta1 Ti1 Pd1 Nb1,AlTiCrNbPdTa,SS,SS+IM,-4.643897253146068,40.647734580847185,96.63728113512627
485,Al1 Cr1 Ta1 Ti1 Pd1 Hf1,AlTiCrPdHfTa,SS,SS,-7.0386734953444625,45.92551795557291,97.91108519841227
486,Al1 Cr1 Ta1 Ti1 Nb1 Hf1,AlTiCrNbHfTa,SS,SS+IM,-8.584937731543304,49.06222235520777,85.71687719850246
487,Al1 Cr1 Ta1 Mo1 V1 Pd1,AlVCrMoPdTa,SS,SS,-4.191240955895135,36.72117014453634,87.20586113077817
488,Al1 Cr1 Ta1 Mo1 V1 Nb1,AlVCrNbMoTa,SS,SS,-4.38282910357545,35.82692456130014,81.08306708428883
489,Al1 Cr1 Ta1 Mo1 V1 Hf1,AlVCrMoHfTa,SS,SS,-5.536789958893399,36.82500057070621,79.53232496418183
490,Al1 Cr1 Ta1 Mo1 Pd1 Nb1,AlCrNbMoPdTa,SS,SS+IM,-3.863509392210985,38.869549028388995,86.90827206700439
491,Al1 Cr1 Ta1 Mo1 Pd1 Hf1,AlCrMoPdHfTa,SS,SS,-4.1186487823893545,35.2615469015022,88.87557878583297
492,Al1 Cr1 Ta1 Mo1 Nb1 Hf1,AlCrNbMoHfTa,SS,SS+IM,-5.493068507195117,39.82020266537298,79.8914024296672
493,Al1 Cr1 Ta1 V1 Pd1 Nb1,AlVCrNbPdTa,SS,SS,-4.4980941129562195,40.317517895517405,92.83037857936709
494,Al1 Cr1 Ta1 V1 Pd1 Hf1,AlVCrPdHfTa,SS,SS,-5.1343175350281305,40.03659428865642,96.12042427068432
495,Al1 Cr1 Ta1 V1 Nb1 Hf1,AlVCrNbHfTa,SS,SS,-7.449182597562458,45.833303960454344,85.10708926131731
496,Al1 Cr1 Ta1 Pd1 Nb1 Hf1,AlCrNbPdHfTa,SS,SS+IM,-3.8961150490743854,41.30895611886596,97.51748740561916
497,Al1 Cr1 Zr1 Ti1 Mo1 V1,AlTiVCrZrMo,IM,IM,-3.3803233606409426,36.663283258551914,85.40558298875223
498,Al1 Cr1 Zr1 Ti1 Mo1 Pd1,AlTiCrZrMoPd,SS+IM,SS,-2.208915748017396,33.77973030269693,88.06509100632513
499,Al1 Cr1 Zr1 Ti1 Mo1 Nb1,AlTiCrZrNbMo,SS+IM,SS+IM,-5.258083129379608,39.8900501937051,84.96875144759132
500,Al1 Cr1 Zr1 Ti1 Mo1 Hf1,AlTiCrZrMoHf,SS,SS,-9.406349879293636,46.50267838311842,86.91906080944626
501,Al1 Cr1 Zr1 Ti1 V1 Pd1,AlTiVCrZrPd,SS+IM,IM,-3.506398017925249,42.85725935704381,111.96390771342244
502,Al1 Cr1 Zr1 Ti1 V1 Nb1,AlTiVCrZrNb,IM,SS+IM,-7.499874282220629,47.3425272968779,91.45241925599619
503,Al1 Cr1 Zr1 Ti1 V1 Hf1,AlTiVCrZrHf,SS,SS,-11.92414715480667,50.24084756038039,84.21701688162494
504,Al1 Cr1 Zr1 Ti1 Pd1 Nb1,AlTiCrZrNbPd,SS+IM,SS+IM,-5.313585946713013,42.19769907517384,92.33703235418334
505,Al1 Cr1 Zr1 Ti1 Pd1 Hf1,AlTiCrZrPdHf,SS,SS,-9.179011612352136,47.41098030333071,95.51582944878271
506,Al1 Cr1 Zr1 Ti1 Nb1 Hf1,AlTiCrZrNbHf,SS,SS+IM,-11.238591961946375,50.34455457363879,86.3327830140344
507,Al1 Cr1 Zr1 Mo1 V1 Pd1,AlVCrZrMoPd,SS+IM,SS,-2.314432595479079,34.79374965220562,84.33635561805274
508,Al1 Cr1 Zr1 Mo1 V1 Nb1,AlVCrZrNbMo,SS+IM,IM,-4.117474360886604,37.79572155149377,79.82038705724611
509,Al1 Cr1 Zr1 Mo1 V1 Hf1,AlVCrZrMoHf,SS,SS,-7.427131519746905,43.78150815326748,84.8098761536314
510,Al1 Cr1 Zr1 Mo1 Pd1 Nb1,AlCrZrNbMoPd,SS+IM,IM,-2.7642855672290314,34.11451241249146,84.89059844865052
511,Al1 Cr1 Zr1 Mo1 Pd1 Hf1,AlCrZrMoPdHf,SS,SS,-2.7477178461074216,36.36281064908382,96.18179917136416
512,Al1 Cr1 Zr1 Mo1 Nb1 Hf1,AlCrZrNbMoHf,SS+IM,SS+IM,-7.904778672414845,44.64058049738972,87.76447611669278
513,Al1 Cr1 Zr1 V1 Pd1 Nb1,AlVCrZrNbPd,SS+IM,IM,-3.4037779418442353,39.13660428553327,93.664939798392
514,Al1 Cr1 Zr1 V1 Pd1 Hf1,AlVCrZrPdHf,SS,SS,-7.017582944573868,46.05545778069056,96.05304813760598
515,Al1 Cr1 Zr1 V1 Nb1 Hf1,AlVCrZrNbHf,SS,SS,-9.59648351607044,49.391267396429036,89.20863837768364
516,Al1 Cr1 Zr1 Pd1 Nb1 Hf1,AlCrZrNbPdHf,SS,SS+IM,-7.221470197501961,46.75867302380917,100.83031452791579
517,Al1 Cr1 Ti1 Mo1 V1 Pd1,AlTiVCrMoPd,SS,SS,-2.4993458523588434,32.01040788012667,79.30722793962674
518,Al1 Cr1 Ti1 Mo1 V1 Nb1,AlTiVCrNbMo,SS+IM,SS,-2.7588652188440754,35.43164544358783,81.49381623413579
519,Al1 Cr1 Ti1 Mo1 V1 Hf1,AlTiVCrMoHf,SS,SS,-4.6553815768798055,37.62166447498709,83.66092723422483
520,Al1 Cr1 Ti1 Mo1 Pd1 Nb1,AlTiCrNbMoPd,SS+IM,SS+IM,-3.2766533794033528,36.18296495975556,83.13458982007336
521,Al1 Cr1 Ti1 Mo1 Pd1 Hf1,AlTiCrMoPdHf,SS,SS,-3.4262147519741513,37.35752988518083,91.44949732926642
522,Al1 Cr1 Ti1 Mo1 Nb1 Hf1,AlTiCrNbMoHf,SS+IM,SS+IM,-5.294451257667519,40.07656748765652,84.77132456515182
523,Al1 Cr1 Ti1 V1 Pd1 Nb1,AlTiVCrNbPd,SS+IM,SS,-2.577413709128395,35.809847495089606,93.96172364222988
524,Al1 Cr1 Ti1 V1 Pd1 Hf1,AlTiVCrPdHf,SS,SS,-4.738948667708712,42.63458545415529,97.20384436562239
525,Al1 Cr1 Ti1 V1 Nb1 Hf1,AlTiVCrNbHf,SS,SS,-6.903591021259758,47.976947911370225,87.9720204380532
526,Al1 Cr1 Ti1 Pd1 Nb1 Hf1,AlTiCrNbPdHf,SS,SS+IM,-5.559675582752526,44.839231838760746,97.85779287178356
527,Al1 Cr1 Mo1 V1 Pd1 Nb1,AlVCrNbMoPd,SS+IM,SS,-3.2455072585290328,33.74685258846119,84.10207550069886
528,Al1 Cr1 Mo1 V1 Pd1 Hf1,AlVCrMoPdHf,SS,SS,-3.4701192555773224,37.449056841463374,88.67793250152195
529,Al1 Cr1 Mo1 V1 Nb1 Hf1,AlVCrNbMoHf,SS+IM,SS,-4.5535292971698365,37.05103347075794,80.02937285091916
530,Al1 Cr1 Mo1 Pd1 Nb1 Hf1,AlCrNbMoPdHf,SS,SS,-3.3295023564199835,36.22345991822621,88.44415639281978
531,Al1 Cr1 V1 Pd1 Nb1 Hf1,AlVCrNbPdHf,SS,SS,-4.122558016169836,41.12105839093644,98.02483130901416
532,Al1 Ta1 Zr1 Ti1 Mo1 V1,AlTiVZrMoTa,SS,SS,-7.613337391382363,43.9364079876011,82.35478834267897
533,Al1 Ta1 Zr1 Ti1 Mo1 Pd1,AlTiZrMoPdTa,SS,SS,-2.9856194536333787,36.65955647732169,91.43632696978061
534,Al1 Ta1 Zr1 Ti1 Mo1 Nb1,AlTiZrNbMoTa,SS,SS,-7.557600058917228,45.65427571414457,83.63784878946345
535,Al1 Ta1 Zr1 Ti1 Mo1 Hf1,AlTiZrMoHfTa,SS,SS,-9.252557598479685,47.66015461545844,82.64572452569743
536,Al1 Ta1 Zr1 Ti1 V1 Pd1,AlTiVZrPdTa,SS,SS,-8.001096805587059,47.28577086423455,94.39748401602306
537,Al1 Ta1 Zr1 Ti1 V1 Nb1,AlTiVZrNbTa,SS,SS,-9.063946251487591,48.94390956259529,82.22572787993437
538,Al1 Ta1 Zr1 Ti1 V1 Hf1,AlTiVZrHfTa,SS,SS,-11.003346470049728,49.78109503868659,81.92896304955703
539,Al1 Ta1 Zr1 Ti1 Pd1 Nb1,AlTiZrNbPdTa,SS,SS+IM,-8.493534510718113,49.60642308075828,95.61152457684355
540,Al1 Ta1 Zr1 Ti1 Pd1 Hf1,AlTiZrPdHfTa,SS,SS,-8.140525027178146,45.11378614890396,93.16869653999736
541,Al1 Ta1 Zr1 Ti1 Nb1 Hf1,AlTiZrNbHfTa,SS,SS,-11.377640304509782,50.872012371393375,81.73314501458472
542,Al1 Ta1 Zr1 Mo1 V1 Pd1,AlVZrMoPdTa,SS,SS,-2.6281841943345277,36.0888404009227,87.03125581519195
543,Al1 Ta1 Zr1 Mo1 V1 Nb1,AlVZrNbMoTa,SS,SS,-5.944945681137638,40.89503376409001,81.55769676085274
544,Al1 Ta1 Zr1 Mo1 V1 Hf1,AlVZrMoHfTa,SS,SS,-7.245234602456271,44.12855793777889,83.62536857374182
545,Al1 Ta1 Zr1 Mo1 Pd1 Nb1,AlZrNbMoPdTa,SS,SS+IM,-2.282067624888722,35.58522009336662,88.87581079836569
546,Al1 Ta1 Zr1 Mo1 Pd1 Hf1,AlZrMoPdHfTa,SS,SS,-2.3453763672499433,35.37968249214965,93.3712870697421
547,Al1 Ta1 Zr1 Mo1 Nb1 Hf1,AlZrNbMoHfTa,SS,SS,-7.139528402614952,46.43130296007545,84.94360101949756
548,Al1 Ta1 Zr1 V1 Pd1 Nb1,AlVZrNbPdTa,SS,SS,-5.602067695565901,44.18158670244915,94.235734882347
549,Al1 Ta1 Zr1 V1 Pd1 Hf1,AlVZrPdHfTa,SS,SS,-6.641340422934615,44.77556455844542,96.10449560008028
550,Al1 Ta1 Zr1 V1 Nb1 Hf1,AlVZrNbHfTa,SS,SS,-9.350090170105728,49.862180959478266,83.20834789593023
551,Al1 Ta1 Zr1 Pd1 Nb1 Hf1,AlZrNbPdHfTa,SS,SS,-6.488140549966803,43.80403638404277,96.6060092144522
552,Al1 Ta1 Ti1 Mo1 V1 Pd1,AlTiVMoPdTa,SS,SS,-4.665782568219233,37.655660223166876,85.47068851803233
553,Al1 Ta1 Ti1 Mo1 V1 Nb1,AlTiVNbMoTa,SS,SS,-4.5992497655364755,38.55712633374794,78.86698528936373
554,Al1 Ta1 Ti1 Mo1 V1 Hf1,AlTiVMoHfTa,SS,SS,-7.161813506005123,44.42205484579073,82.7105116646658
555,Al1 Ta1 Ti1 Mo1 Pd1 Nb1,AlTiNbMoPdTa,SS,SS,-3.264531829460926,36.12522262819534,85.67337607871418
556,Al1 Ta1 Ti1 Mo1 Pd1 Hf1,AlTiMoPdHfTa,SS,SS,-2.356252874298049,35.28987903331875,90.17268630229773
557,Al1 Ta1 Ti1 Mo1 Nb1 Hf1,AlTiNbMoHfTa,SS,SS,-6.88548051317217,44.443485057291845,83.79638240347691
558,Al1 Ta1 Ti1 V1 Pd1 Nb1,AlTiVNbPdTa,SS,SS,-5.8250430053579345,43.06314809360199,93.41108442301328
559,Al1 Ta1 Ti1 V1 Pd1 Hf1,AlTiVPdHfTa,SS,SS,-7.708084094956264,48.41211524603886,94.17893189456571
