,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
223,Al1 Cr1 Ta1 Mo1 Nb1,AlCrNbMoTa,SS,SS,-4.468321140290463,35.32980965935969,82.91668680382537
224,Al1 Cr1 Ta1 Mo1 Hf1,AlCrMoHfTa,SS,SS,-3.744148691780368,36.77812497540382,83.19643491281414
225,Al1 Cr1 Ta1 V1 Pd1,AlVCrPdTa,SS,SS,-5.1738206698952744,37.285163124697185,93.60614127567784
226,Al1 Cr1 Ta1 V1 Nb1,AlVCrNbTa,SS,SS,-5.700942141427899,40.82427528971328,90.39993587365181
227,Al1 Cr1 Ta1 V1 Hf1,AlVCrHfTa,SS,SS,-7.077137379488177,44.79158898409415,86.76997370456431
228,Al1 Cr1 Ta1 Pd1 Nb1,AlCrNbPdTa,SS,SS,-4.657654207022215,40.045750328509676,92.461357420854
229,Al1 Cr1 Ta1 Pd1 Hf1,AlCrPdHfTa,SS,SS,-3.088268287472176,35.92872907979253,95.52178225710624
230,Al1 Cr1 Ta1 Nb1 Hf1,AlCrNbHfTa,SS,SS,-7.404101808017772,47.27065049843222,88.70588282712914
231,Al1 Cr1 Zr1 Ti1 Mo1,AlTiCrZrMo,IM,IM,-4.119717406204877,37.99016739252976,82.24599947217806
232,Al1 Cr1 Zr1 Ti1 V1,AlTiVCrZr,IM,IM,-5.443627413163406,52.10618705627418,107.51949149302195
233,Al1 Cr1 Zr1 Ti1 Pd1,AlTiCrZrPd,SS+IM,SS,-3.5134194459167416,44.3604925284092,112.81661409574845
234,Al1 Cr1 Zr1 Ti1 Nb1,AlTiCrZrNb,IM,SS+IM,-9.187660509065509,49.92678900317337,88.42328764884407
235,Al1 Cr1 Zr1 Ti1 Hf1,AlTiCrZrHf,SS,SS,-11.251335377650184,54.654239539954474,89.02279762215514
236,Al1 Cr1 Zr1 Mo1 V1,AlVCrZrMo,IM,IM,-2.5482064235189337,35.51255688138757,78.7155848952287
237,Al1 Cr1 Zr1 Mo1 Pd1,AlCrZrMoPd,SS+IM,IM,-2.1317456997488184,34.22502504814583,82.40343787901966
238,Al1 Cr1 Zr1 Mo1 Nb1,AlCrZrNbMo,SS+IM,IM,-3.90268368924187,36.731881346567796,82.55900716435002
239,Al1 Cr1 Zr1 Mo1 Hf1,AlCrZrMoHf,SS,SS,-6.1451945807055735,39.79468120014997,88.1473249914131
240,Al1 Cr1 Zr1 V1 Pd1,AlVCrZrPd,SS+IM,SS,-2.594396744485785,41.30656191807787,109.49505439032446
241,Al1 Cr1 Zr1 V1 Nb1,AlVCrZrNb,IM,IM,-6.126479053232862,48.6334576536758,90.3876473985119
242,Al1 Cr1 Zr1 V1 Hf1,AlVCrZrHf,SS,SS,-9.664212860134834,53.41613807785947,88.83616021543607
243,Al1 Cr1 Zr1 Pd1 Nb1,AlCrZrNbPd,SS+IM,IM,-4.122623143863987,40.1624990196862,94.53324918694143
244,Al1 Cr1 Zr1 Pd1 Hf1,AlCrZrPdHf,SS,SS,-7.165596387919738,45.748180118677496,98.50304100584357
245,Al1 Cr1 Zr1 Nb1 Hf1,AlCrZrNbHf,SS,SS,-9.853024820603233,51.49414024361858,92.64951943671706
246,Al1 Cr1 Ti1 Mo1 V1,AlTiVCrMo,IM,SS,-1.2821248144288082,31.224388028679826,80.82238477980962
247,Al1 Cr1 Ti1 Mo1 Pd1,AlTiCrMoPd,SS+IM,SS,-2.572893606429528,33.655813843505825,79.5361644821132
248,Al1 Cr1 Ti1 Mo1 Nb1,AlTiCrNbMo,SS,SS,-2.1135928340606576,34.34421419437292,79.350924679251
249,Al1 Cr1 Ti1 Mo1 Hf1,AlTiCrMoHf,SS,SS,-4.951464050117693,38.87724010478721,86.09233437286848
250,Al1 Cr1 Ti1 V1 Pd1,AlTiVCrPd,SS+IM,SS,-2.811176429866012,37.955864210146245,114.76876273582988
251,Al1 Cr1 Ti1 V1 Nb1,AlTiVCrNb,IM,SS,-1.8847386822624448,39.33876986296545,97.176262200211
252,Al1 Cr1 Ti1 V1 Hf1,AlTiVCrHf,SS,SS,-6.4290492024210595,49.93183663335369,87.50485874571504
253,Al1 Cr1 Ti1 Pd1 Nb1,AlTiCrNbPd,SS+IM,SS,-2.925749547800335,37.623967452707255,93.8498935183413
254,Al1 Cr1 Ti1 Pd1 Hf1,AlTiCrPdHf,SS,SS,-4.922950241172763,40.314785019909515,97.05134716233408
255,Al1 Cr1 Ti1 Nb1 Hf1,AlTiCrNbHf,SS,SS,-9.055596250972936,51.397002833374,91.3142915510149
256,Al1 Cr1 Mo1 V1 Pd1,AlVCrMoPd,IM,SS,-2.7297157755824455,31.478839153311682,80.51157411377046
257,Al1 Cr1 Mo1 V1 Nb1,AlVCrNbMo,IM,IM,-1.240730258530195,30.345575912750835,78.92624083218784
258,Al1 Cr1 Mo1 V1 Hf1,AlVCrMoHf,SS,SS,-4.420218007601621,36.509665685861755,82.42260992933288
259,Al1 Cr1 Mo1 Pd1 Nb1,AlCrNbMoPd,SS,SS,-3.0549310413594415,34.8657492956,82.88489196064057
260,Al1 Cr1 Mo1 Pd1 Hf1,AlCrMoPdHf,SS,SS,-3.4775098555704935,36.36224574137566,87.01461249408729
261,Al1 Cr1 Mo1 Nb1 Hf1,AlCrNbMoHf,SS,SS,-3.856889279676054,37.23277870175017,82.74706240237343
262,Al1 Cr1 V1 Pd1 Nb1,AlVCrNbPd,SS+IM,SS,-2.679990003557409,33.857563195667886,87.93901454626342
263,Al1 Cr1 V1 Pd1 Hf1,AlVCrPdHf,SS,SS,-4.652554860942474,38.84533943913945,94.12957135505086
264,Al1 Cr1 V1 Nb1 Hf1,AlVCrNbHf,SS,SS,-7.210076340870045,48.19767267186868,90.15518677220705
265,Al1 Cr1 Pd1 Nb1 Hf1,AlCrNbPdHf,SS,SS,-3.4086595395382773,38.50156881581137,97.28262798989711
266,Al1 Ta1 Zr1 Ti1 Mo1,AlTiZrMoTa,SS,SS,-7.5668448658344705,47.03511564118022,84.16311934453176
267,Al1 Ta1 Zr1 Ti1 V1,AlTiVZrTa,SS,SS,-9.969692687286653,50.479344555558896,83.28367885192186
268,Al1 Ta1 Zr1 Ti1 Pd1,AlTiZrPdTa,SS,SS,-6.798020366221077,42.539965115732656,95.65407062497482
269,Al1 Ta1 Zr1 Ti1 Nb1,AlTiZrNbTa,SS,SS,-9.881243500690648,51.95981454674328,83.24209790397524
270,Al1 Ta1 Zr1 Ti1 Hf1,AlTiZrHfTa,SS,SS,-11.218263152956984,51.82925760551166,85.59081024963847
271,Al1 Ta1 Zr1 Mo1 V1,AlVZrMoTa,SS,SS,-4.514301988040727,38.163646865401375,80.21864417818765
272,Al1 Ta1 Zr1 Mo1 Pd1,AlZrMoPdTa,SS,SS,-2.3260506420373974,35.526471962715505,88.32318463803442
273,Al1 Ta1 Zr1 Mo1 Nb1,AlZrNbMoTa,SS,SS,-4.54453715778862,39.455823847434445,82.06015558433174
274,Al1 Ta1 Zr1 Mo1 Hf1,AlZrMoHfTa,SS,SS,-5.2982167828168825,41.76073408010437,86.41994907143427
275,Al1 Ta1 Zr1 V1 Pd1,AlVZrPdTa,SS,SS,-3.9279356341111304,39.77915458336579,95.07487398851536
